College,Campus_name,Salary
CS,Chicago,1100499964
Liberal Arts & Sciences,Urbana-Champaign,917448499.1
Engineering,Urbana-Champaign,702372010
Liberal Arts & Sciences,Chicago,506141683.8
"Agr, Consumer, & Env Sciences",Urbana-Champaign,419247548.2
Pharmacy,Chicago,322858075.8
MC,Chicago,316368692.3
Vice Chanc Research Institutes,Urbana-Champaign,276244239.7
College of Business,Urbana-Champaign,240586800.8
Fine & Applied Arts,Urbana-Champaign,232657037.9
Engineering,Chicago,214426964.9
College of Medicine at Peoria,Chicago,205789857
BS,Chicago,199036412.4
Dentistry,Chicago,188602089.9
Vice Chancellor for Research,Urbana-Champaign,176276836.1
School of Public Health,Chicago,169802734
Business & Financial Services,System Offices,165429557.2
Div Intercollegiate Athletics,Urbana-Champaign,163819896.6
Veterinary Medicine,Urbana-Champaign,158212982.3
Business Administration,Chicago,151075028
Applied Health Sciences,Chicago,145420769.8
Provost & VC Acad Affairs,Urbana-Champaign,141260329.4
Education,Urbana-Champaign,123628932.6
Chief Information Officer,Urbana-Champaign,121543150.4
Nursing,Chicago,115422498.5
Law,Urbana-Champaign,114667176.2
Auxiliary Units,Urbana-Champaign,111053271.4
Vice Chancellor for Research,Chicago,103630432.9
University Library,Urbana-Champaign,102839089.2
Applied Health Sciences,Urbana-Champaign,101663214.7
Grainger Engineering,Urbana-Champaign,91799992.95
Gies College of Business,Urbana-Champaign,86709461.42
Coll of Med Office of the Dean,Chicago,84975713.02
Facilities,Urbana-Champaign,83921463.55
Education,Chicago,80648876.23
Coll of Medicine at Chicago-Clin Sc,Chicago,77712372.54
College of Medicine Rockford,Chicago,72565126.18
Provost & VC Acad Affairs,Chicago,72218123.75
Chief Information Officer,System Offices,71571090.06
VC Student Affairs,Urbana-Champaign,71366735.77
College of Media,Urbana-Champaign,69282914.83
Liberal Arts & Sciences,Springfield,64119555.56
"Architecture,Design,& the Arts",Chicago,62196592.36
Urban Planning &Public Affairs,Chicago,62042093.94
Executive Offices,System Offices,61335895.24
Exec VP & VP Academic Affairs,System Offices,57869139.16
Med Ctr,Chicago,55371299.88
Medicine at UIUC,Urbana-Champaign,48041171.33
Chancellor,Urbana-Champaign,47747504.78
Ofc VC Inst Advancement,Urbana-Champaign,46429250.71
VP for Academic Affairs,System Offices,43433127.23
"Healthcare System, UIC-MSHC",Chicago,43369237.43
Vice Chanc for Student Affairs,Chicago,41082681.8
Library,Chicago,39146882.71
Agr Consumer & Env Sciences,Urbana-Champaign,38487931.42
Intercollegiate Athletics,Chicago,33810024.47
MEN'S GOL,Urbana-Champaign,33770185.06
Business and Management,Springfield,33316131.67
Exec Chief Information Officer,System Offices,32353020.93
School of Labor & Empl. Rel.,Urbana-Champaign,32207512.25
School of Social Work,Urbana-Champaign,32048848.43
Provost & VC Acad Affairs,Springfield,31543969.89
Social Work,Chicago,30405386.6
Public Affairs & Administratn,Springfield,29713092.74
Library & Information Science,Urbana-Champaign,28629006.65
Vice Chanc Administrative Svcs,Chicago,28406119.87
Campus Auxiliary Services,Chicago,26690349.33
Chancellor,Springfield,26270777.9
Public Safety,Urbana-Champaign,24767318.16
School of Information Sciences,Urbana-Champaign,24187007.19
Office of Treasury Operations,System Offices,23075379.18
Student Affairs,Springfield,22164545.76
Center Innov in Teach Learn,Urbana-Champaign,22040768.34
VC for Development,Chicago,21147403.41
Facilities Management,Chicago,21057635.4
Architecture and the Arts,Chicago,20150580.41
McKinley Health Center,Urbana-Champaign,19680685.97
Public Affairs,Urbana-Champaign,18278907.73
Center for State Policy,Springfield,18248458.48
Graduate College,Urbana-Champaign,16768482.64
Academic Computing & Comm Ctr,Chicago,16562751.75
Vice President for Research,System Offices,16514158.51
Education and Human Services,Springfield,16179817
Coll of Medicine at Chicago-Bas Sci,Chicago,16065084.87
Office of VC for Advancement,Chicago,15797314.08
Admn Info Technology Services,System Offices,14969418.63
Admin Info Technology Services,System Offices,14843698.62
Chancellor,Chicago,14722015.66
Technology Services,Urbana-Champaign,14706914.39
International Prgms & Studies,Urbana-Champaign,14267145.84
UIF and Alumni Association,System Offices,13802269.29
Vice Pres Econ Dev and Innov,System Offices,13663627.1
University Audits,System Offices,13550156.98
VP Academic & Enrollment Svcs,Chicago,12975724.33
VC for Health Affairs,Chicago,12680260.26
Illinois International,Urbana-Champaign,11333942.69
School of Continuing Studies,Chicago,11054828.01
Public & Government Affairs,Chicago,11024689.98
Division of General Studies,Urbana-Champaign,10982293.43
Office of Admissions & Records,Chicago,10515540.21
Budget & Financial Admin,Chicago,10359512.47
John Marshall Law School,Chicago,9989194
Beckman Institute,Urbana-Champaign,9366173.5
Univ Ofc for Human Resources,System Offices,9347008.68
Carle Illinois Medicine,Urbana-Champaign,9335370.3
Energy Services,Urbana-Champaign,8719097.89
Univ Ofc Planning & Budgeting,System Offices,8675167.1
VP for Global Engagement,Chicago,8636977.92
"Pierczynski, Kathryn Doria",Urbana-Champaign,8091864.38
UIC Human Resources,Chicago,7304957.67
Graduate College,Chicago,7181987.77
